
Created CAN interfafce connector

Connected to InfluxDB

Exiting
         6998656 function calls (6985722 primitive calls) in 42.873 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1813   20.806    0.011   20.806    0.011 {method 'recv_into' of '_socket.socket' objects}
   333609    1.417    0.000    3.936    0.000 os.py:673(__getitem__)
   378917    1.220    0.000    6.879    0.000 _collections_abc.py:742(__iter__)
   652686    1.037    0.000    1.875    0.000 os.py:755(decode)
   333609    0.901    0.000    1.565    0.000 os.py:751(encode)
   667493    0.868    0.000    0.868    0.000 {method 'decode' of 'bytes' objects}
     3626    0.863    0.000    7.580    0.002 request.py:2463(getproxies_environment)
   333592    0.666    0.000    1.586    0.000 os.py:696(__iter__)
684006/683671    0.662    0.000    0.867    0.000 {built-in method builtins.isinstance}
   411576    0.519    0.000    0.519    0.000 {method 'encode' of 'str' objects}
     3626    0.505    0.000    0.505    0.000 {method 'sendall' of '_socket.socket' objects}
   481941    0.429    0.000    0.429    0.000 {method 'lower' of 'str' objects}
    14504    0.219    0.000    0.437    0.000 client.py:1200(putheader)
    12690    0.217    0.000    0.570    0.000 _collections_abc.py:824(update)
    41693    0.185    0.000    0.231    0.000 parse.py:109(_coerce_args)
    16314    0.177    0.000    0.584    0.000 parse.py:361(urlparse)
    48949    0.152    0.000    0.197    0.000 structures.py:46(__setitem__)
      421    0.147    0.000    0.147    0.000 {built-in method marshal.loads}
    18127    0.138    0.000    0.260    0.000 parse.py:412(urlsplit)
     1813    0.137    0.000   24.917    0.014 connectionpool.py:319(_make_request)
    45322    0.137    0.000    0.180    0.000 structures.py:51(__getitem__)
     1813    0.133    0.000    1.582    0.001 client.py:203(parse_headers)
        4    0.122    0.031    0.122    0.031 {built-in method posix.system}
    16310    0.122    0.000    0.276    0.000 message.py:462(get)
     1813    0.119    0.000    0.328    0.000 feedparser.py:471(_parse_headers)
     1813    0.118    0.000   29.121    0.016 sessions.py:617(send)
     3625    0.117    0.000    0.902    0.000 feedparser.py:218(_parsegen)
     1813    0.115    0.000   26.057    0.014 connectionpool.py:446(urlopen)
    12691    0.113    0.000    0.772    0.000 sessions.py:49(merge_setting)
    49080    0.110    0.000    0.111    0.000 {built-in method _abc._abc_instancecheck}
    12691    0.108    0.000    0.316    0.000 utils.py:284(to_key_val_list)
     1813    0.107    0.000    1.513    0.001 client.py:1246(_send_request)
     1813    0.106    0.000    0.145    0.000 socket.py:221(makefile)
    24397    0.105    0.000    0.105    0.000 {method 'match' of 're.Pattern' objects}
     1813    0.104    0.000   21.044    0.012 client.py:266(_read_status)
79528/79249    0.098    0.000    0.118    0.000 {built-in method builtins.hasattr}
     1813    0.094    0.000   28.056    0.015 adapters.py:394(send)
     1813    0.093    0.000    0.223    0.000 client.py:1071(putrequest)
     1813    0.093    0.000    0.122    0.000 poolmanager.py:58(_default_key_normalizer)
    14504    0.092    0.000    0.255    0.000 parse.py:154(hostname)
    14506    0.089    0.000   20.945    0.001 {method 'readline' of '_io.BufferedReader' objects}
    49080    0.089    0.000    0.200    0.000 abc.py:137(__instancecheck__)
92857/89679    0.088    0.000    0.094    0.000 {built-in method builtins.len}
     3626    0.086    0.000    0.240    0.000 url.py:132(parse_url)
    35099    0.085    0.000    0.085    0.000 {method 'split' of 'str' objects}
     1813    0.081    0.000   22.827    0.013 client.py:299(begin)
    97052    0.080    0.000    0.080    0.000 {method 'append' of 'list' objects}
    14504    0.078    0.000    0.125    0.000 parse.py:190(_hostinfo)
    18120    0.078    0.000    0.105    0.000 _collections.py:151(__getitem__)
    10878    0.078    0.000    0.141    0.000 _policybase.py:293(header_source_parse)
     1836    0.075    0.000   40.445    0.022 main.py:71(write_data)
    16315    0.074    0.000    0.215    0.000 _collections_abc.py:657(get)
     1836    0.074    0.000    0.294    0.000 socketcan.py:467(capture_message)
     9065    0.072    0.000    0.135    0.000 parse.py:846(quote_from_bytes)
     1813    0.072    0.000    0.378    0.000 models.py:441(prepare_headers)
     1813    0.071    0.000    2.711    0.001 sessions.py:426(prepare_request)
    59829    0.071    0.000    0.071    0.000 structures.py:58(<genexpr>)
    39350    0.069    0.000    0.069    0.000 {method 'startswith' of 'str' objects}
     1813    0.068    0.000    0.745    0.000 models.py:355(prepare_url)
     7248    0.068    0.000    0.109    0.000 message.py:497(get_all)
    23868    0.068    0.000    0.068    0.000 message.py:65(__setattr__)
     9064    0.067    0.000    0.555    0.000 structures.py:40(__init__)
    18122    0.067    0.000    0.149    0.000 _policybase.py:281(_sanitize_header)
     1813    0.065    0.000   40.193    0.022 client.py:272(request)
     1813    0.064    0.000   40.287    0.022 client.py:380(write)
1464/1453    0.063    0.000    0.277    0.000 {built-in method builtins.__build_class__}
     3624    0.063    0.000    0.240    0.000 cookiejar.py:1667(extract_cookies)
     1812    0.062    0.000    0.135    0.000 response.py:160(__init__)
     7250    0.062    0.000    0.282    0.000 message.py:564(get_content_type)
     1813    0.061    0.000   40.086    0.022 sessions.py:466(request)
    40892    0.061    0.000    0.061    0.000 {method 'get' of 'dict' objects}
     1836    0.060    0.000    0.060    0.000 {built-in method select.select}
    14504    0.058    0.000    0.058    0.000 {method 'fullmatch' of 're.Pattern' objects}
     3626    0.057    0.000    0.380    0.000 models.py:82(_encode_params)
    17695    0.057    0.000    0.057    0.000 {method 'search' of 're.Pattern' objects}
    16315    0.056    0.000    0.067    0.000 feedparser.py:78(readline)
     7252    0.055    0.000    0.204    0.000 parse.py:829(quote_plus)
27077/27070    0.054    0.000    0.055    0.000 {built-in method __new__ of type object at 0x3cc514}
     1812    0.054    0.000    0.540    0.000 response.py:499(from_httplib)
    51030    0.053    0.000    0.053    0.000 {method 'partition' of 'str' objects}
  711/178    0.052    0.000    0.169    0.001 sre_parse.py:475(_parse)
     3626    0.052    0.000    0.362    0.000 utils.py:767(select_proxy)
    28483    0.050    0.000    0.051    0.000 {built-in method builtins.getattr}
     5439    0.050    0.000    0.101    0.000 cookiejar.py:1249(__init__)
     1813    0.049    0.000    0.194    0.000 client.py:236(__init__)
